DDB Spell ID,Spell ID,Name,Level,Source,Page,Source Citation,Casting Time,Range/Area,Components,Components [expanded],Duration,School,Attack/Save,Save,Damage/Effect,Notes,Description,At Higher Levels,Spell Tags,Available For,DDB URL,DDB Filter URL
188092,distort-value,Distort Value,1,Acquisitions Incorporated,75,"Acquisitions Incorporated, pg. 75",1 Minute,Touch (1 ft. ),V,V,8 Hours,Illusion,None,,,,"Do you need to squeeze a few more gold pieces out of a merchant as you try to sell that weird octopus statue you liberated from the chaos temple? Do you need to downplay the worth of some magical assets when the tax collector stops by?
Distort Value
has you covered.
You cast this spell on an object no more than 1 foot on a side, doubling the object’s perceived value by adding illusory flourishes or polish to it, or reducing its perceived value by half with the help of illusory scratches, dents, and other unsightly features. Anyone examining the object can ascertain its true value with a successful Intelligence (
Investigation
) check against your spell save DC.","When you cast this spell using a spell slot of 2nd level or higher, the maximum size of the object increases by 1 foot for each slot level above 1st.",,"Bard (Legacy), Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Bard, Sorcerer, Warlock, Wizard",https://www.dndbeyond.com/spells/188092-distort-value,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
188104,fast-friends,Fast Friends,3,Acquisitions Incorporated,75,"Acquisitions Incorporated, pg. 75",1 Action,30 ft.,V,V,Concentration 1 Hour,Enchantment,WIS Save,Wis,Charmed,"Duration: 1h. While the creature is charmed in this way, it undertakes to perform any services or activities you ask of it in a friendly manner, to the best of its ability. Upcast Multitarget.","When you need to make sure something gets done, you can’t rely on vague promises, sworn oaths, or binding contracts of employment. When you cast this spell, choose one humanoid within range that can see and hear you, and that can understand you. The creature must succeed on a Wisdom saving throw or become
charmed
by you for the duration. While the creature is
charmed
in this way, it undertakes to perform any services or activities you ask of it in a friendly manner, to the best of its ability.
You can set the creature new tasks when a previous task is completed, or if you decide to end its current task. If the service or activity might cause harm to the creature, or if it conflicts with the creature’s normal activities and desires, the creature can make another Wisdom saving throw to try to end the effect. This save is made with advantage if you or your companions are fighting the creature. If the activity would result in certain death for the creature, the spell ends.
When the spell ends, the creature knows it was
charmed
by you.","When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for each slot level above 3rd.",Charmed,"Bard (Legacy), Cleric (Legacy), Wizard (Legacy), Bard, Cleric, Wizard",https://www.dndbeyond.com/spells/188104-fast-friends,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
188118,gift-of-gab,Gift of Gab,2,Acquisitions Incorporated,76,"Acquisitions Incorporated, pg. 76",1 Reaction *,Self,"V, S, M, R **","V, S, M, R **",Instantaneous,Enchantment,None,,,,"Jim Darkmagic is said to have invented this spell, originally calling it I said what?! Have you ever been talking to the local monarch and accidentally mentioned how their son looks like your favorite hog from when you were growing up on the family farm? We’ve all been there! But rather than being beheaded for an honest slip of the tongue, you can pretend it never happened — by ensuring that no one knows it happened.
When you cast this spell, you skillfully reshape the memories of listeners in your immediate area, so that each creature of your choice within 5 feet of you forgets everything you said within the last 6 seconds. Those creatures then remember that you actually said the words you speak as the verbal component of the spell.
When I met Jim Darkmagic, I wondered how he got anything done in that outfit. I have since learned that most of his talents involve standing and talking. His outfit is perfect for that.
— Môrgæn
* - which you take when you speak to another creature
** - (Royalty Component: 2 gp)",,,"Bard (Legacy), Wizard (Legacy), Bard, Wizard",https://www.dndbeyond.com/spells/188118-gift-of-gab,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
188121,incite-greed,Incite Greed,3,Acquisitions Incorporated,76,"Acquisitions Incorporated, pg. 76",1 Action,30 ft.,"V, S, M *","V, S, M (a gem worth at least 50 gp)",Concentration 1 Minute,Enchantment,WIS Save,Wis,Charmed,choose any number of creatures within range that can see you.,"When you cast this spell, you present the gem used as the material component and choose any number of creatures within range that can see you. Each target must succeed on a Wisdom saving throw or be
charmed
by you until the spell ends, or until you or your companions do anything harmful to it. While
charmed
in this way, a creature can do nothing but use its movement to approach you in a safe manner. While an affected creature is within 5 feet of you, it cannot move, but simply stares greedily at the gem you present.
At the end of each of its turns, an affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.",,Charmed,"Cleric (Legacy), Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Cleric, Sorcerer, Warlock, Wizard",https://www.dndbeyond.com/spells/188121-incite-greed,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
188126,jims-glowing-coin,Jim's Glowing Coin,2,Acquisitions Incorporated,76,"Acquisitions Incorporated, pg. 76",1 Action,60 ft.,"S, M, R *","S, M, R (a coin - Royalty Component: 2 gp)",1 Minute,Enchantment,WIS Save,Wis,,,"Of the many tactics employed by master magician and renowned adventurer Jim Darkmagic, the old glowing coin trick is a time-honored classic. When you cast the spell, you hurl the coin that is the spell’s material component to any spot within range. The coin lights up as if under the effect of a
light
spell. Each creature of your choice that you can see within 30 feet of the coin must succeed on a Wisdom saving throw or be distracted for the duration. While distracted, a creature has disadvantage on Wisdom (
Perception
) checks and initiative rolls.",,,"Wizard (Legacy), Wizard",https://www.dndbeyond.com/spells/188126-jims-glowing-coin,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
188129,jims-magic-missile,Jim's Magic Missile,1,Acquisitions Incorporated,76,"Acquisitions Incorporated, pg. 76",1 Action,120 ft.,"V, S, M *","V, S, M (Royalty Component: 1 gp)",Instantaneous,Evocation,Ranged,,Force,,"Any apprentice wizard can cast a boring old
magic missile
. Sure, it always strikes its target. Yawn. Do away with the drudgery of your grandfather’s magic with this improved version of the spell, as used by Jim Darkmagic!
You create three twisting, whistling, hypoallergenic, gluten-free darts of magical force. Each dart targets a creature of your choice that you can see within range. Make a ranged spell attack for each missile. On a hit, a missile deals 2d4 force damage to its target.
If the attack roll scores a critical hit, the target of that missile takes 5d4 force damage instead of you rolling damage twice for a critical hit. If the attack roll for any missile is a 1, all missiles miss their targets and blow up in your face, dealing 1 force damage per missile to you.","When you cast this spell using a spell slot of 2nd level or higher, the spell creates one more dart, and the royalty component increases by 1 gp, for each slot level above 1st.",Damage,"Wizard (Legacy), Wizard",https://www.dndbeyond.com/spells/188129-jims-magic-missile,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
188142,motivational-speech,Motivational Speech,3,Acquisitions Incorporated,77,"Acquisitions Incorporated, pg. 77",1 Minute,60 ft.,V,V,1 Hour,Enchantment,None,,Buff,Duration: 1h. Upcast MoreTHP,"You address allies, staff, or innocent bystanders to exhort and inspire them to greatness, whether they have anything to get excited about or not. Choose up to five creatures within range that can hear you. For the duration, each affected creature gains 5 temporary hit points and has advantage on Wisdom saving throws. If an affected creature is hit by an attack, it has advantage on the next attack roll it makes. Once an affected creature loses the temporary hit points granted by this spell, the spell ends for that creature.","When you cast this spell using a spell slot of 4th level or higher, the temporary hit points increase by 5 for each slot level above 3rd.
I once heard a motivational speech by Jim and it was the worst ninety seconds of my life. What does Omin see in him, anyway?
— Walnut Dankgrass",Buff,"Bard (Legacy), Cleric (Legacy), Bard, Cleric",https://www.dndbeyond.com/spells/188142-motivational-speech,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1988,acid-arrow,Acid Arrow,2,Basic Rules (2014),,Basic Rules (2014),1 Action,90 ft.,"V, S, M *","V, S, M (powdered rhubarb leaf and an adder’s stomach)",Instantaneous,Evocation,Ranged,,Acid (...),,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.","When you cast this spell using a spell slot of 3rd level or higher, the damage (both initial and later) increases by 1d4 for each slot level above 2nd.",Damage,"Wizard (Legacy), Artificer (Legacy) - Alchemist (Legacy)",https://www.dndbeyond.com/spells/1988-acid-arrow,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1989,acid-splash,Acid Splash,0,Basic Rules (2014),211,"Basic Rules (2014), pg. 211",1 Action,60 ft.,"V, S","V, S",Instantaneous,Conjuration,DEX Save,Dex,Acid,,"You hurl a bubble of acid. Choose one or two creatures you can see within range. If you choose two, they must be within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.
This spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",,Damage,"Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy)",https://www.dndbeyond.com/spells/1989-acid-splash,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1990,aid,Aid,2,Basic Rules (2014),211,"Basic Rules (2014), pg. 211",1 Action,30 ft.,"V, S, M *","V, S, M (a tiny strip of white cloth)",8 Hours,Abjuration,None,,Buff,Duration: 8h. Upcast MoreHP,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.,"When you cast this spell using a spell slot of 3rd level or higher, a target's hit points increase by an additional 5 for each slot level above 2nd.",Buff,"Cleric (Legacy), Paladin (Legacy), Artificer (Legacy), Cleric (Legacy) - Peace Domain, Cleric (Legacy) - Community Domain, Sorcerer (Legacy) - Crimson Dynasty (2014)",https://www.dndbeyond.com/spells/1990-aid,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
